date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:10	0/0	---MC-	301	error ('Moved%20Permanently')	application/octet-stream	date:Fri,%2021%20Mar%202014%2020:04:06%20GMT	http://armguitar.do.am/index/hetaard'_kap/0-19	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/hetaard'_kap/0-19	(from http://armguitar.do.am/)
13:04:10	14734/14734	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Mar%202014%2020:04:06%20GMT	http://armguitar.do.am/index/hetaard_kap/0-19	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/index/hetaard_kap/0-19	(from http://armguitar.do.am/)
13:04:26	117071/117071	---M--	200	added ('OK')	application/pdf	etag:%224f8a7afb-1c94f%22	http://armguitar.do.am/160.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/160.pdf	(from http://armguitar.do.am/)
13:04:38	163657/163657	---M--	200	added ('OK')	application/pdf	etag:%224f8a79f1-27f49%22	http://armguitar.do.am/159.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/159.pdf	(from http://armguitar.do.am/)
13:04:46	205595/205595	---M--	200	added ('OK')	application/pdf	etag:%224efcb959-3231b%22	http://armguitar.do.am/94-Yj_kak_pal_tuman.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/94-Yj_kak_pal_tuman.pdf	(from http://armguitar.do.am/)
13:04:52	250318/250318	---M--	200	added ('OK')	application/pdf	etag:%224efe28f6-3d1ce%22	http://armguitar.do.am/104-Back_at_your_door.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/104-Back_at_your_door.pdf	(from http://armguitar.do.am/)
13:04:58	127451/127451	---M--	200	added ('OK')	application/pdf	etag:%224efcb9ff-1f1db%22	http://armguitar.do.am/95-Xytorok.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/95-Xytorok.pdf	(from http://armguitar.do.am/)
13:05:00	216331/216331	---M--	200	added ('OK')	application/pdf	etag:%224f03ffbf-34d0b%22	http://armguitar.do.am/155-DZyun.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/155-DZyun.pdf	(from http://armguitar.do.am/)
13:05:09	140364/140364	---M--	200	added ('OK')	application/pdf	etag:%224efcbad0-2244c%22	http://armguitar.do.am/96-Ya_na_gorku_shla.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/96-Ya_na_gorku_shla.pdf	(from http://armguitar.do.am/)
13:05:11	114714/114714	---M--	200	added ('OK')	application/pdf	etag:%224ed7d45e-1c01a%22	http://armguitar.do.am/18-Spanish_Dance_Toreador.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/18-Spanish_Dance_Toreador.pdf	(from http://armguitar.do.am/)
13:05:27	163916/163916	---M--	200	added ('OK')	application/pdf	etag:%224f03f752-2804c%22	http://armguitar.do.am/147-Erajishtneri_qaxaq.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/147-Erajishtneri_qaxaq.pdf	(from http://armguitar.do.am/)
13:05:29	117058/117058	---M--	200	added ('OK')	application/pdf	etag:%224f03f7ee-1c942%22	http://armguitar.do.am/148-Hangchi_lrutyuny.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/148-Hangchi_lrutyuny.pdf	(from http://armguitar.do.am/)
13:05:31	207280/207280	---M--	200	added ('OK')	application/pdf	etag:%224ed7db02-329b0%22	http://armguitar.do.am/20-Siente_mi_amor_1-ver-2-.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/20-Siente_mi_amor_1-ver-2-.pdf	(from http://armguitar.do.am/)
13:05:46	218548/218548	---M--	200	added ('OK')	application/pdf	etag:%224f03f918-355b4%22	http://armguitar.do.am/149-Poqrik_ishxan.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/149-Poqrik_ishxan.pdf	(from http://armguitar.do.am/)
13:06:02	215929/215929	---M--	200	added ('OK')	application/pdf	etag:%224f03fa15-34b79%22	http://armguitar.do.am/150-Shirimis_vra.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/150-Shirimis_vra.pdf	(from http://armguitar.do.am/)
13:06:17	296954/296954	---M--	200	added ('OK')	application/pdf	etag:%224edc7bf4-487fa%22	http://armguitar.do.am/30-Babe_leto.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/30-Babe_leto.pdf	(from http://armguitar.do.am/)
13:06:20	302251/302251	---M--	200	added ('OK')	application/pdf	etag:%224edc7c97-49cab%22	http://armguitar.do.am/31-Ballada_o_inoxidce.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/31-Ballada_o_inoxidce.pdf	(from http://armguitar.do.am/)
13:06:35	113096/113096	---M--	200	added ('OK')	application/pdf	etag:%224efcb7e6-1b9c8%22	http://armguitar.do.am/92-Pryaxa.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/92-Pryaxa.pdf	(from http://armguitar.do.am/)
13:06:41	127264/127264	---M--	200	added ('OK')	application/pdf	etag:%224efe2a76-1f120%22	http://armguitar.do.am/106-Christmas_Cheer.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/106-Christmas_Cheer.pdf	(from http://armguitar.do.am/)
13:06:52	312318/312318	---M--	200	added ('OK')	application/pdf	etag:%224edc7dca-4c3fe%22	http://armguitar.do.am/33-Ballada_o_broshenem_korable.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/33-Ballada_o_broshenem_korable.pdf	(from http://armguitar.do.am/)
13:06:56	179282/179282	---M--	200	added ('OK')	application/pdf	etag:%224efe2b15-2bc52%22	http://armguitar.do.am/107-Closer.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/107-Closer.pdf	(from http://armguitar.do.am/)
13:07:02	161754/161754	---M--	200	added ('OK')	application/pdf	etag:%224efe2bb0-277da%22	http://armguitar.do.am/108-Control_Myself.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/108-Control_Myself.pdf	(from http://armguitar.do.am/)
13:07:08	170750/170750	---M--	200	added ('OK')	application/pdf	etag:%224efe2c4a-29afe%22	http://armguitar.do.am/109-Figure_it_out.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/109-Figure_it_out.pdf	(from http://armguitar.do.am/)
13:07:09	82706/82706	---M--	200	added ('OK')	application/pdf	etag:%224ed8e6d3-14312%22	http://armguitar.do.am/24-Malaguena.pdf	C:/Users/Rafayel/Desktop/Google/New%20folder/Armguitar/armguitar.do.am/24-Malaguena.pdf	(from http://armguitar.do.am/)
